folded,spellings,rows_affected,the_spellings
pt. unilever indonesia tbk,2,895,PT. UNILEVER INDONESIA TBK // PT. UNILEVER INDONESIA Tbk
pt. mandom indonesia tbk,2,256,PT. MANDOM INDONESIA TBK // PT. MANDOM INDONESIA Tbk
pt. kao indonesia,2,251,PT. KAO INDONESIA // PT. KAO INDONESIa
made in indonesia,2,236,MADE IN INDONESIA // Made In Indonesia
pt. kino indonesia tbk,2,231,PT. KINO INDONESIA TBK // PT. KINO INDONESIA Tbk
made in china,3,181,MADE IN CHINA // Made In China // made in china
alat jahit,2,135,ALAT JAHIT // alat jahit
pt. indofood cbp sukses makmur tbk,2,113,PT. INDOFOOD CBP SUKSES MAKMUR TBK // PT. INDOFOOD CBP SUKSES MAKMUR Tbk
pt. unilever indonesia tbk.,2,43,PT. UNILEVER INDONESIA TBK. // PT. UNILEVER INDONESIA Tbk.
pt. garudafood putra putri jaya tbk,2,41,PT. GARUDAFOOD PUTRA PUTRI JAYA TBK // PT. GARUDAFOOD PUTRA PUTRI JAYA Tbk
pt. unilever indonesia,2,26,PT. UNILEVER INDONESIA // PT. UNILEVER iNDONESIA
pt. victoria care indonesia tbk,2,23,PT. VICTORIA CARE INDONESIA TBK // PT. VICTORIA CARE INDONESIA Tbk
pt. uni charm indonesia tbk,2,19,PT. UNI CHARM INDONESIA TBK // PT. UNI CHARM INDONESIA Tbk
pt. akasha wira international tbk,2,18,PT. AKASHA WIRA INTERNATIONAL TBK // PT. AKASHA WIRA INTERNATIONAL Tbk
pt. mandom indonesia tbk.,2,18,PT. MANDOM INDONESIA TBK. // PT. MANDOM INDONESIA Tbk.
"pt. unilever indonesia tbk.,",2,18,"PT. UNILEVER INDONESIA TBK., // PT. UNILEVER INDONESIA Tbk.,"
pt akasha wira international tbk,2,12,PT AKASHA WIRA INTERNATIONAL TBK // PT AKASHA WIRA INTERNATIONAL Tbk
pt. indofood cbp sukses makmur tbk.,2,11,PT. INDOFOOD CBP SUKSES MAKMUR TBK. // PT. INDOFOOD CBP SUKSES MAKMUR Tbk.
pt. charoen pokphand indonesia tbk.,2,9,PT. CHAROEN POKPHAND INDONESIA TBK. // PT. CHAROEN POKPHAND INDONESIA Tbk.
pt sanfood prima makmur,2,8,PT SANFOOD PRIMA MAKMUR // pt sanfood prima makmur
frt,2,7,FRT // frt
pt. victoria care indonesia tbk.,2,7,PT. VICTORIA CARE INDONESIA TBK. // PT. VICTORIA CARE INDONESIA Tbk.
cahaya,2,6,CAHAYA // cahaya
hioshi,2,6,HIOSHI // hioshi
massaki,2,6,MASSAKI // massaki
vico,2,6,VICO // vico
lee kum kee (malaysia) foods sdn. bhd,2,5,LEE KUM KEE (MALAYSIA) FOODS SDN. BHD // LEE KUM KEE (MALAYSIA) FOODS Sdn. Bhd
visalux,2,5,VISALUX // visalux
loyal,2,3,LOYAL // loyal
pt indo sarana prakasa,2,3,PT INDO SARANA PRAKASA // pt indo sarana prakasa
pt. cisarua mountain dairy tbk.,2,3,PT. CISARUA MOUNTAIN DAIRY TBK. // PT. CISARUA MOUNTAIN DAIRY Tbk.
pt. hm sampoerna tbk,2,3,PT. HM SAMPOERNA TBK // PT. HM SAMPOERNA Tbk
pt. mustika ratu tbk.,2,3,PT. MUSTIKA RATU TBK. // PT. MUSTIKA RATU Tbk.
sc johnson & son inc.,2,3,SC JOHNSON & SON INC. // SC JOHNSON & SON Inc.
cimory,2,2,CIMORY // cimory
lembang fram,2,2,LEMBANG FRAM // lembang fram
pt. smart tbk.,2,2,PT. SMART TBK. // PT. SMART Tbk.
stewie farm,2,2,STEWIE FARM // stewie farm
