key,spellings,rows_affected,the_spellings
0,2,12517,0 // 0.
,5,2702,*- // +- // - // -. // .
pt unilever indonesia tbk,16,1108,"PT UNILEVER INDONESIA  TBK // PT UNILEVER INDONESIA TBK // PT UNILEVER INDONESIA Tbk. // PT UNILEVER INDONESIA.TBK // PT. UNILEVER  INDONESIA TBK // PT. UNILEVER INDONESIA TBK // PT. UNILEVER INDONESIA TBK. // PT. UNILEVER INDONESIA TBK., // PT. UNILEVER INDONESIA Tbk // PT. UNILEVER INDONESIA Tbk, // PT. UNILEVER INDONESIA Tbk,. // PT. UNILEVER INDONESIA Tbk. // PT. UNILEVER INDONESIA Tbk., // PT. UNILEVER INDONESIA. TBK // PT.UNILEVER INDONESIA TBK // PT.UNILEVER INDONESIA TBK."
pt paragon technology and innovation,4,694,"PT PARAGON TECHNOLOGY  AND INNOVATION // PT PARAGON TECHNOLOGY AND INNOVATION // PT, PARAGON TECHNOLOGY AND INNOVATION // PT. PARAGON TECHNOLOGY AND INNOVATION"
pt mandom indonesia tbk,10,396,"PT MANDOM INDONESIA .TBK // PT MANDOM INDONESIA TBK // PT MANDOM INDONESIA.TBK // PT MANDOM.INDONESIA.TBK // PT, MANDOM INDONESIA TBK // PT. MANDOM INDONESIA TBK // PT. MANDOM INDONESIA TBK. // PT. MANDOM INDONESIA Tbk // PT. MANDOM INDONESIA Tbk. // PT.MANDOM INDONESIA TBK"
pt lion wings,4,381,"PT LION WINGS // PT,. LION WINGS // PT. LION WINGS // PT.LION WINGS"
pt kino indonesia tbk,8,317,"PT KINO INDONESIA .TBK // PT KINO INDONESIA TBK // PT KINO INDONESIA.TBK // PT. KINO INDONESIA TBK // PT. KINO INDONESIA TBK., // PT. KINO INDONESIA Tbk // PT. KINO INDONESIA Tbk. // PT.KINO INDONESIA Tbk."
pt kao indonesia,4,283,PT KAO INDONESIA // PT. KAO  INDONESIA // PT. KAO INDONESIA // PT. KAO INDONESIa
pt megasari makmur,2,282,PT MEGASARI MAKMUR // PT. MEGASARI MAKMUR
pt procter gamble operations indonesia,7,252,PT PROCTER & GAMBLE OPERATIONS INDONESIA // PT PROCTER &GAMBLE OPERATIONS INDONESIA // PT PROCTER&GAMBLE OPERATIONS INDONESIA // PT. PROCTER  GAMBLE OPERATIONS INDONESIA // PT. PROCTER & GAMBLE OPERATIONS INDONESIA // PT. PROCTER GAMBLE OPERATIONS INDONESIA // PT.PROCTER & GAMBLE OPERATIONS INDONESIA
joyko,2,251,JOYKO // JOYKO .
pt wings surya,3,246,PT WINGS SURYA // PT. WINGS SURYA // PT.WINGS SURYA
made in indonesia,2,236,MADE IN INDONESIA // Made In Indonesia
pt nestle indonesia,5,231,"PT . NESTLE INDONESIA // PT NESTLE INDONESIA // PT, NESTLE INDONESIA // PT. NESTLE INDONESIA // PT.NESTLE INDONESIA"
pt nutrifood indonesia,3,212,PT NUTRIFOOD INDONESIA // PT. NUTRIFOOD INDONESIA // PT.NUTRIFOOD INDONESIA
sc johnson son inc,9,209,SC JOHNSON & SON INC // SC JOHNSON & SON INC. // SC JOHNSON & SON Inc. // SC JOHNSON & SON.INC // SC JOHNSON &SON INC // SC JOHNSON&SON INC // SC JOHNSON&SON.INC // SC. JOHNSON & SON INC // SC.JOHNSON & SON.INC
pt konimex,3,192,PT KONIMEX // PT. KONIMEX // PT.KONIMEX
made in china,3,181,MADE IN CHINA // Made In China // made in china
pt multi indomandiri,2,181,PT MULTI INDOMANDIRI // PT. MULTI INDOMANDIRI
pt softex indonesia,4,181,"PT SOFTEX INDONESIA // PT, SOFTEX INDONESIA // PT. SOFTEX INDONESIA // PT.SOFTEX INDONESIA"
pt ultra prima abadi,2,169,PT ULTRA PRIMA ABADI // PT. ULTRA PRIMA ABADI
pt suryamas mentari,4,164,"PT SURYAMAS MENTARI // PT, SURYAMAS MENTARI // PT. SURYAMAS MENTARI // PT.SURYAMAS MENTARI"
pt unza vitalis,4,163,PT UNZA VITALIS // PT. UNZA VITALIS // PT. UNZA-VITALIS // PT.UNZA VITALIS
pt cahaya perdana plastics,4,156,PT CAHAYA  PERDANA PLASTICS // PT CAHAYA PERDANA PLASTICS // PT. CAHAYA PERDANA PLASTICS // PT.CAHAYA PERDANA PLASTICS
pt indofood cbp sukses makmur tbk,10,153,"PT INDOFOOD CBP SUKSES MAKMUR TBK // PT INDOFOOD CBP SUKSES MAKMUR.TBK // PT. INDOFOOD CBP  SUKSES MAKMUR TBK // PT. INDOFOOD CBP SUKSES MAKMUR TBK // PT. INDOFOOD CBP SUKSES MAKMUR TBK. // PT. INDOFOOD CBP SUKSES MAKMUR Tbk // PT. INDOFOOD CBP SUKSES MAKMUR Tbk. // PT. INDOFOOD CBP SUKSES MAKMUR Tbk., // PT. INDOFOOD CBP SUKSES MAKMUR, TBK. // PT. INDOFOOD CBP.SUKSES MAKMUR TBK"
