section,value,n
head,0,12512
head,-,2691
head,PT. UNILEVER INDONESIA TBK,893
head,PT PARAGON TECHNOLOGY AND INNOVATION,455
head,PT. LION WINGS,301
head,PT. MANDOM INDONESIA TBK,253
head,PT. KAO INDONESIA,250
head,JOYKO,250
head,00,248
head,PT. MEGASARI MAKMUR,243
head,PT. PARAGON TECHNOLOGY AND INNOVATION,237
head,MADE IN INDONESIA,231
head,PT. KINO INDONESIA TBK,230
head,PT. PROCTER & GAMBLE OPERATIONS INDONESIA,215
head,PT. WINGS SURYA,212
head,SC JOHNSON & SON INC,183
head,MADE IN CHINA,178
head,PT. MULTI INDOMANDIRI,164
head,PT. SOFTEX INDONESIA,154
head,PT. TRISINAR INDOPRATAMA,142
head,PT. CAHAYA PERDANA PLASTICS,138
head,PT. SAYAP MAS UTAMA,136
head,PT. SURYAMAS MENTARI,136
head,PT NESTLE INDONESIA,135
head,ALAT JAHIT,132
head,PT. PZ CUSSONS INDONESIA,130
head,ARTEMEDIA,126
head,PT. UNZA VITALIS,125
head,PT UNILEVER INDONESIA TBK,120
head,PT. UNI CHARM INDONESIA,118
head,PT. NUTRIFOOD INDONESIA,117
head,PT. KONIMEX,114
head,PT. INDOFOOD CBP SUKSES MAKMUR TBK,111
head,PT. RECKITT BENCKISER INDONESIA,107
head,BANTEX,104
head,PT. IMPLORA SUKSES ABADI,97
head,PT. BINA KARYA PRIMA,97
head,PT NUTRIFOOD INDONESIA,94
head,PT. BEIERSDORF INDONESIA,93
head,PT SANTOS JAYA ABADI,91
