measure,value
distinct_after_dropping_no_letter,5510
distinct_alnum_only,4421
distinct_no_ascii_letter,31
distinct_raw,5580
distinct_that_are_case_variants,38
distinct_trim,5580
distinct_trim_lower,5541
distinct_trim_lower_ws,5489
rows_after_dropping_no_letter,30983
rows_covered_by_top_100_values,26317
rows_covered_by_top_500_values,34666
rows_covered_by_values_used_once,2788
rows_total,46499
value_len_max,66
value_len_p50,16
value_len_p99,44
values_used_21_to_100,229
values_used_2_to_5,1793
values_used_6_to_20,735
values_used_once,2788
values_used_over_100,35
values_with_double_space,88
values_with_leading_or_trailing_space,0
