family,id,upc,title,is_active
IMPLORA LIP CREAM,33008,8993883802224,IMPLORA CAFFE MATTE LIP CREAM #101 SALTED CARAMEL 2.9 GR,true
IMPLORA LIP CREAM,33005,8993883802231,IMPLORA CAFFE MATTE LIP CREAM #102 VANILA LATTE 2.9 GR,true
IMPLORA LIP CREAM,33009,8993883802248,IMPLORA CAFFE MATTE LIP CREAM #103 HAZELNUT CREAM 2.9 GR,true
IMPLORA LIP CREAM,33006,8993883802262,IMPLORA CAFFE MATTE LIP CREAM #201 ROSE LATTE 2.9 GR,true
IMPLORA LIP CREAM,33010,8993883802279,IMPLORA CAFFE MATTE LIP CREAM #301 AMERICANO 2.9 GR,true
IMPLORA LIP CREAM,33007,8993883802255,IMPLORA CAFFE MATTE LIP CREAM 104 CAPPUCCINO 2.9 GR,true
IMPLORA LIP CREAM,31144,8993883800749,IMPLORA DAYTODAY LITE MATTE LIP CREAM #01 UPLIFTED 4 GR,true
IMPLORA LIP CREAM,31143,8993883800763,IMPLORA DAYTODAY LITE MATTE LIP CREAM #03 PASSIONATE 4 GR,true
IMPLORA LIP CREAM,30956,8993883800770,IMPLORA DAYTODAY LITE MATTE LIP CREAM #04 HUMBLE 4 GR,true
IMPLORA LIP CREAM,31145,8993883800787,IMPLORA DAYTODAY LITE MATTE LIP CREAM #05 AMBITION 4 GR,true
IMPLORA LIP CREAM,31242,8993883800794,IMPLORA DAYTODAY LITE MATTE LIP CREAM #06 ATTITUDE 4 GR,true
IMPLORA LIP CREAM,49515,8993883800756,IMPLORA DAYTODAY LITE MATTE LIP CREAM 02 CHERISH 4GR,true
IMPLORA LIP CREAM,15201,1212040001001,IMPLORA LIP CREAM - #01 DUSKY NUDE,true
IMPLORA LIP CREAM,15204,1212040002008,IMPLORA LIP CREAM - #02 TERRA COTTA,true
IMPLORA LIP CREAM,15206,1212040003005,IMPLORA LIP CREAM - #03 DARK BERRY,true
IMPLORA LIP CREAM,15209,1212040007003,IMPLORA LIP CREAM - #07 TRUFFLE MOUVE,true
IMPLORA LIP CREAM,15213,1212040008000,IMPLORA LIP CREAM - #08 PINK LATTE,true
IMPLORA LIP CREAM,15215,1212040009007,IMPLORA LIP CREAM - #09 BUTTERSCOTCH,true
IMPLORA LIP CREAM,15217,1212040010003,IMPLORA LIP CREAM - #10 GINGERBREAD,true
IMPLORA LIP CREAM,15218,1212040011000,IMPLORA LIP CREAM - #11 RED BEAN,true
IMPLORA LIP CREAM,15219,1212040012007,IMPLORA LIP CREAM - #12 BROWN SUGAR,true
PIXY FIXED MATTE,32983,8992222075596,PIXY FIXED MATTE CUSHION #101C FAIR BEIGE 11 GR,true
PIXY FIXED MATTE,32984,8992222075602,PIXY FIXED MATTE CUSHION #202N LIGHT IVORY 11 GR,true
PIXY FIXED MATTE,32980,8992222075633,PIXY FIXED MATTE CUSHION #302N NEUTRAL IVORY 11 GR,true
PIXY FIXED MATTE,32842,8992222075671,PIXY FIXED MATTE POWDER FOUNDATION #101C FAIR BEIGE 9.5 GR,true
PIXY FIXED MATTE,32834,8992222075732,PIXY FIXED MATTE POWDER FOUNDATION #202N LIGHT IVORY 9.5 GR,true
PIXY FIXED MATTE,33100,8992222075701,PIXY FIXED MATTE POWDER FOUNDATION #302N NEUTRAL IVORY 9.5 GR,true
REAL GOOD YOGURT,29354,8993110003776,REAL GOOD YOGURT DRINK BLUEBERRY 125 ML,true
REAL GOOD YOGURT,29343,8993110003806,REAL GOOD YOGURT DRINK BLUEBERRY 80 ML,false
REAL GOOD YOGURT,29353,8993110003790,REAL GOOD YOGURT DRINK LYCHEE 125 ML,true
REAL GOOD YOGURT,29344,8993110003820,REAL GOOD YOGURT DRINK LYCHEE 80 ML,false
REAL GOOD YOGURT,29441,8993110003783,REAL GOOD YOGURT DRINK STRAWBERRY 125 ML,true
REAL GOOD YOGURT,29345,8993110003813,REAL GOOD YOGURT DRINK STRAWBERRY 80 ML,false
SOKLIN SAKURA,7456,8998866612166,SOKLIN SOFTERGENT SAKURA STRAWBERRY 1.44 KG,true
SOKLIN SAKURA,18266,8998866622493,SOKLIN SOFTERGENT SAKURA STRAWBERRY 2.7 KG,true
SOKLIN SAKURA,7410,8998866612180,SOKLIN SOFTERGENT SAKURA STRAWBERRY 215 GR,true
SOKLIN SAKURA,7461,8998866612173,SOKLIN SOFTERGENT SAKURA STRAWBERRY 720 GR,true
SOKLIN SAKURA,7066,8998866612210,SOKLIN SOFTERGENT SAKURA STRAWBERRY REFILL 700ML,true
SOKLIN SAKURA,7931,8998866612197,SOKLIN SOFTERGENT SAKURA STRAWBERRY SACHET 41GR,true
