stem,products,distinct_labels,dimensions,dimension,text_order,magnitude_order,text_sort_is_correct
BOX AGOGO,14,7,1,volume,1200 ML | 1600 ML | 2000 ML | 3000 ML | 5000 ML | 7000 ML | 750 ML,750 ML | 1200 ML | 1600 ML | 2000 ML | 3000 ML | 5000 ML | 7000 ML,false
BARBEL WINSTAR,12,8,1,mass,1 KG | 10 KG | 2 KG | 3 KG | 5 KG | 6 KG | 7 KG | 9 KG,1 KG | 2 KG | 3 KG | 5 KG | 6 KG | 7 KG | 9 KG | 10 KG,false
PANTENE SHAMPOO ANTI KETOMBE,8,8,1,volume,110 ML | 145 ML | 210 ML | 290 ML | 400 ML | 70 ML | 750 ML | 900 ML,70 ML | 110 ML | 145 ML | 210 ML | 290 ML | 400 ML | 750 ML | 900 ML,false
DAIA PUTIH DETERJEN BUBUK,7,7,1,mass,1.5 KG | 2.7 KG | 245 GR | 4 KG | 46 GR | 470 GR | 800 GR,46 GR | 245 GR | 470 GR | 800 GR | 1.5 KG | 2.7 KG | 4 KG,false
NATURAL PACK,7,7,1,volume,1700 ML | 1800 ML | 1900 ML | 250 ML | 400 ML | 500 ML | 800 ML,250 ML | 400 ML | 500 ML | 800 ML | 1700 ML | 1800 ML | 1900 ML,false
PANTENE SHAMPOO PERAWATAN RAMBUT RONTOK,7,7,1,volume,145 ML | 210 ML | 290 ML | 400 ML | 70 ML | 750 ML | 990 ML,70 ML | 145 ML | 210 ML | 290 ML | 400 ML | 750 ML | 990 ML,false
ABC SAMBAL ASLI,6,6,2,mass,130 ML | 270 ML | 335 ML | 380 GR | 600 ML | 65 GR,65 GR | 130 ML | 270 ML | 335 ML | 380 GR | 600 ML,false
AJINOMOTO,6,6,1,mass,1 KG | 100 GR | 250 GR | 50 GR | 500 GR | 90 GR,50 GR | 90 GR | 100 GR | 250 GR | 500 GR | 1 KG,false
AQUA,6,6,1,volume,1500 ML | 200 ML | 330 ML | 450 ML | 600 ML | 750 ML,200 ML | 330 ML | 450 ML | 600 ML | 750 ML | 1500 ML,false
DAIA PINK DETERJEN BUBUK,6,6,1,mass,1.5 KG | 2.7 KG | 245 GR | 46 GR | 470 GR | 800 GR,46 GR | 245 GR | 470 GR | 800 GR | 1.5 KG | 2.7 KG,false
DAIA VIOLET DETERJEN BUBUK,6,6,1,mass,1.5 KG | 2.7 KG | 245 GR | 46 GR | 470 GR | 800 GR,46 GR | 245 GR | 470 GR | 800 GR | 1.5 KG | 2.7 KG,false
MI-WON,6,6,1,mass,1 KG | 100 GR | 250 GR | 50 GR | 500 GR | 95 GR,50 GR | 95 GR | 100 GR | 250 GR | 500 GR | 1 KG,false
MY BABY POWDER SOFT & GENTLE,6,6,1,mass,100 GR | 169 GR | 281 GR | 350 GR | 50 GR | 500 GR,50 GR | 100 GR | 169 GR | 281 GR | 350 GR | 500 GR,false
PEPSODENT WHITE,6,6,1,mass,120 GR | 150 GR | 180 GR | 225 GR | 25 GR | 75 GR,25 GR | 75 GR | 120 GR | 150 GR | 180 GR | 225 GR,false
SASA MSG,6,6,1,mass,1 KG | 100 GR | 250 GR | 50 GR | 500 GR | 85 GR,50 GR | 85 GR | 100 GR | 250 GR | 500 GR | 1 KG,false
