unit_token,products,distinct_magnitudes,distinct_pairs,sample_magnitudes
GR,13098,485,485,"0.06,0.07,0.08,0.13,0.2,0.8,0087,0099,1,1.0,1.1,1.14"
ML,9863,270,270,"0,5,0.35,0.5,0.7,1,1,500,1.35,1.400,1.500,1.700,10,100"
L,1604,512,512,"0,0.5,0.6,0.7,0.8,0.9,001,002,003,01,011,019"
M,1255,536,536,"0,0.5,001,002,003,01,019,02,020,027,03,030"
CM,1004,92,92,"1,1.5,10,100,101,104,106,108,11,11.5,12,12.5"
PC,972,144,144,"07,08,1,10,100,102,104,105,108,11,110,112"
PCS,638,46,46,"1,10,100,11,112,12,120,125,13,14,15,150"
KG,541,39,39,"0.5,0.8,04,1,1.1,1.15,1.2,1.25,1.3,1.4,1.44,1.5"
MM,480,96,96,"0.06,0.28,0.30,0.5,0.6,0.7,0.8,1,1.0,1.2,1.5,1.9"
LEMBAR,214,26,26,"1,10,100,110,120,2,20,200,24,25,3,30"
G,194,58,58,"03,04,06,09,1,1.5,10,100,1000,102,11,118"
SACHET,108,7,7,"10,12,24,4,5,6,75"
GRAM,95,41,41,"100,11,120,125,135,140,15,185,200,21,225,24"
LTR,79,39,39,"0.80,1,1.2,1.3,1.4,1.5,1.6,1.8,10,11,12,12.5"
PACK,54,11,11,"1,10,105,2,3,4,6,60,7,8,80"
OZ,51,21,21,"08,10,11,12,13,16,16.9,18,22,24,3,32"
BOTOL,48,39,39,"0032,0345,10,1000,1038,1206,17,2,20,200,223,2413"
BOX,38,14,14,"09,1,10,1000,11288,182,2,20,22,25,3,4"
MG,36,19,19,"0087,100,1000,125,1488,200,250,400,4500,455,4600,4900"
LBR,19,8,8,"100,20,24,25,40,50,58,80"
PAK,17,2,2,"1,10"
DUS,7,2,2,"2,8"
BTL,2,2,2,"01,2003"
