id,is_active,title,slug,desc_len,desc_md5,desc_head,desc_contains_title_strict,desc_contains_title_normalised,images,image_display_orders
3883,true,INDOMIE AYAM BAWANG 69 GR,indomie-ayam-bawang-69-gr,890,5c969aa4fca9b79116103591ef6528a7,<p><strong>INDOMIE AYAM BAWANG 69 GR</strong></p><p>Mi kuah dengan rasa ayam bawang specia,true,true,2,0/1
3887,true,INDOMIE AYAM SPECIAL 68 GR,indomie-ayam-special-68gr,513,1d233f60f939c92c6670b827ed88ecef,<p><strong>INDOMIE AYAM SPECIAL 68 GR</strong></p><p>Mie instan rasa ayam spesial dengan a,true,true,2,0/1
3885,true,INDOMIE EMPAL GENTONG 75 GR,indomie-empal-gentong-75gr,768,7549b02d206f24aabd1246a31022dbbb,"<p><strong>INDOMIE EMPAL GENTONG 75 GR</strong></p><p><span style=""background-color: rgb(2",true,true,2,0/1
3879,true,INDOMIE GORENG AYAM GEPREK 85 GR,indomie-goreng-ayam-geprek-85gr,774,3b03097133dde90e4dd774f91e97868d,"<p><strong>INDOMIE GORENG AYAM GEPREK 85 GR</strong></p> <p><span style=""color: rgba(49, 5",true,true,2,0/1
3853,true,INDOMIE GORENG CABE IJO 85 GR,indomie-goreng-cabe-ijo-85gr,1217,75dbeefefef329708ccb010eebab2d36,<p><strong>INDOMIE GORENG CABE IJO 85 GR</strong></p><p>Indomie Goreng Cabe Ijo merupakan ,true,true,2,0/1
101343,true,INDOMIE GORENG CABE IJO JUMBO 120 GR,indomie-goreng-cabe-ijo-jumbo-120-gr-24,0,d41d8cd98f00b204e9800998ecf8427e,,false,false,0,
3886,true,INDOMIE GORENG IGA PENYET 80 GR,indomie-goreng-iga-penyet-80-gr,2755,00ac666b0c18acbdcbfc3369074b3936,"<p><strong>INDOMIE GORENG IGA PENYET 80 GR</strong></p> <p><span style=""color: rgba(0, 0, ",true,true,2,0/1
3854,true,INDOMIE GORENG MIE ACEH 90 GR,indomie-goreng-mie-aceh-90gr,566,060db101b13d610b3a49154521259a79,<p><strong>INDOMIE GORENG MIE ACEH 90 GR</strong></p><p><strong>Mie Goreng Aceh</strong> d,true,true,2,0/1
5313,true,INDOMIE GORENG RENDANG 91 GR,indomie-goreng-rendang-91gr,982,2f9096bc99b619c66dd972944c2ce4f3,"<p><strong>INDOMIE GORENG RENDANG 91 GR</strong></p><p>Mi Goreng rasa rendang yang nikmat,",true,true,2,0/1
3881,true,INDOMIE GORENG SAMBAL RICA-RICA 85 GR,indomie-goreng-sambal-rica-rica-85gr,599,1b5b91ef84575dbec0512cab693dfef5,<p><strong>INDOMIE GORENG SAMBAL RICA-RICA 85 GR</strong></p><p>Indomie Mie Goreng Rasa Sa,true,true,2,0/1
3875,true,INDOMIE GORENG SPECIAL 85 GR,indomie-goreng-special-85gr,1427,9d53cde61f38d0f925f0e7a06938d45a,<p><strong>INDOMIE GORENG SPECIAL 85 GR</strong></p><p><strong>Indomie Goreng Special </st,true,true,2,0/1
