measure,bucket,value
pack rows · does the single exist in the same category?,no,6043
pack rows · does the single exist in the same category?,yes,891
pack rows · top categories,10 Mainan dan Alat Lainnya,53
pack rows · top categories,1005 SABUN CUCI MOTOR,3
pack rows · top categories,1023 PITA RENDA,11
pack rows · top categories,103 SAUS,1
pack rows · top categories,1035 RAKET BADMINTON,6
pack rows · top categories,1037 SHUTTLECOCK / KOK BADMINTON,7
pack rows · top categories,104 SELAI & OLESAN,1
pack rows · top categories,1041 KACAMATA RENANG,3
pack rows · top categories,1049 HAND GRIP BUSA,2
pack rows · top categories,105 SEREAL & SARAPAN,1
pack rows · top categories,1054 BOLA PING PONG,1
pack rows · top categories,106 TEPUNG,1
pack rows · top categories,1063 BOLA TENNIS,1
pack rows · top categories,1065 PELUIT,1
pack rows · top categories,1066 STOPWATCH,1
pack rows · top categories,1067 KARPET / MATRAS OLAHRAGA,3
pack rows · top categories,1068 PERALATAN PERAWATAN ANJING,1
pack rows · top categories,107 BUAH,21
pack rows · top categories,1077 MAKANAN KUCING,16
pack rows · top categories,1081 CD DVD,1
pack rows · top categories,1082 GAMING PAD (STICK UNTUK MAIN GAME),1
pack rows · top categories,1086 KEYBOARD,1
pack rows · top categories,1088 MOUSE MAT,8
pack rows · top categories,1098 KABEL POWER,4
pack rows · top categories,111 SAYURAN SEGAR,21
pack rows · top categories,1114 LILIN LAINNYA,13
pack rows · top categories,1115 LILIN ULANG TAHUN,5
pack rows · top categories,1117 AMPLOP SURAT,8
pack rows · top categories,1119 STEMPEL,1
pack rows · top categories,112 TELUR,3
pack rows · top categories,1120 TINTA STEMPEL,1
pack rows · top categories,1126 REFILL STAPLER,1
pack rows · top categories,1127 BANDO & BANDANA ANAK,2
pack rows · top categories,1128 IKAT RAMBUT ANAK,11
pack rows · top categories,1129 JEPIT RAMBUT ANAK,11
pack rows · top categories,1131 SISIR ANAK,3
pack rows · top categories,1133 BANDO & BANDANA DEWASA,8
pack rows · top categories,1134 IKAT RAMBUT DEWASA,29
pack rows · top categories,1135 JEPIT RAMBUT DEWASA,13
pack rows · top categories,1136 SISIR DEWASA,6
pack rows · top categories,1138 PAYUNG LIPAT,1
pack rows · top categories,1141 BAWAHAN ANAK LAKI-LAKI,4
pack rows · top categories,1142 PAKAIAN DALAM ANAK LAKI-LAKI,1
pack rows · top categories,1144 SET PAKAIAN ANAK LAKI-LAKI,1
pack rows · top categories,1148 PAKAIAN DALAM ANAK PEREMPUAN,3
pack rows · top categories,1155 KAIN ALAS,1
pack rows · top categories,1156 KAIN BEDONG,9
pack rows · top categories,1157 SARUNG KAKI BAYI,4
pack rows · top categories,1160 TOPI BAYI,1
pack rows · top categories,1173 SARUNG,1
pack rows · top categories,1176 CELANA PANJANG PRIA,1
pack rows · top categories,1179 CELANA BOXER,3
pack rows · top categories,1180 CELANA DALAM PRIA,24
pack rows · top categories,1187 KEMEJA WANITA,2
pack rows · top categories,1199 KERUDUNG WANITA,5
pack rows · top categories,1206 KAIN BATIK WANITA,1
pack rows · top categories,1211 CELANA PANJANG WANITA,6
pack rows · top categories,1223 BRA WANITA,4
pack rows · top categories,1224 CELANA DALAM WANITA,6
pack rows · top categories,1229 DASTER WANITA,2
pack rows · top categories,1245 KAUS KAKI ANAK & BAYI LAKI-LAKI,12
pack rows · top categories,125 PERALATAN MAKAN ANAK & BAYI,38
pack rows · top categories,1252 KAUS KAKI ANAK & BAYI PEREMPUAN,15
pack rows · top categories,1264 DOMPET PRIA,2
pack rows · top categories,1273 AKSESORIS TRAVEL & KOPER,4
pack rows · top categories,1276 DOMPET WANITA,2
pack rows · top categories,1281 TAS POUCH WANITA,49
pack rows · top categories,1290 PELUIT,1
pack rows · top categories,"13 COKLAT, KOPI & TEH",1
pack rows · top categories,130 PERLENGKAPAN ANAK & BAYI LAINNYA ,3
pack rows · top categories,1301 KUAS MASKER,1
pack rows · top categories,1304 SPONGE / BLENDER / APLIKATOR MAKE UP,17
pack rows · top categories,1307 MAKEUP & TRAVEL CASE,1
pack rows · top categories,1308 PENJEPIT BULU MATA,1
pack rows · top categories,1309 PERALATAN MANICURE & PEDICURE,1
pack rows · top categories,1310 PINSET & PERALATAN ALIS,4
pack rows · top categories,1317 SUSU BUBUK,40
pack rows · top categories,1318 SUSU CAIR & UHT,1
pack rows · top categories,1319 SUSU IBU HAMIL,2
pack rows · top categories,1321 SUSU KENTAL MANIS,9
pack rows · top categories,1322 SUSU KESEHATAN,14
pack rows · top categories,1323 SUSU LAINNYA,6
pack rows · top categories,133 PERLENGKAPAN MENYUSUI ANAK & BAYI,1
pack rows · top categories,1335 NASI SIAP SAJI,1
pack rows · top categories,1350 ROTI LAINNYA,2
pack rows · top categories,1354 SABUN ANAK & BAYI BATANG,1
pack rows · top categories,1358 POPOK (DIAPERS) ANAK & BAYI KAIN,1
pack rows · top categories,136 PERAWATAN WAJAH,1
pack rows · top categories,1360 ANTI NYAMUK LOTION,5
pack rows · top categories,1362 SABUN BADAN BATANG,70
pack rows · top categories,1374 JAMU/OBAT HERBAL,5
pack rows · top categories,1376 SUPLEMEN MAKANAN ANAK,2
pack rows · top categories,1380 GEL/KRIM PEREDA NYERI,1
pack rows · top categories,1382 KOYO,7
pack rows · top categories,1384 MINYAK ANGIN,2
pack rows · top categories,1389 OBAT LUAR LAINNYA,2
pack rows · top categories,1391 OBAT MINUM UNTUK BATUK & PILEK,1
pack rows · top categories,1392 OBAT MINUM UNTUK DEMAM,7
pack rows · top categories,1394 OBAT MINUM UNTUK SAKIT KEPALA,5
pack rows · top categories,1395 OBAT MINUM UNTUK SULIT TIDUR,1
pack rows · top categories,1396 OBAT MINUM LAINNYA,32
pack rows · top categories,1399 KASA/PERBAN,1
pack rows · top categories,14 MAKANAN KECIL ,3
pack rows · top categories,1400 PLESTER ANTISEPTIC,11
pack rows · top categories,1403 POPOK (DIAPERS) DEWASA SEKALI PAKAI (DISPOSABLE) MODEL CELANA,11
pack rows · top categories,1404 POPOK (DIAPERS) DEWASA SEKALI PAKAI (DISPOSABLE) DENGAN PEREKAT,7
pack rows · top categories,1406 ANTI NYAMUK ELEKTRIK KEMASAN REFILL SAJA,2
pack rows · top categories,1409 DETERJEN BUBUK,7
pack rows · top categories,1410 DETERJEN CAIR,12
pack rows · top categories,1413 PELEMBUT & PEWANGI PAKAIAN (SOFTENER) KEMASAN REFILL (POUCH),12
pack rows · top categories,1414 PELICIN PAKAIAN KEMASAN REFILL (POUCH),6
pack rows · top categories,142 MULTIVITAMIN & SUPLEMEN,2
pack rows · top categories,1422 CAIRAN PEMBERSIH KAMAR MANDI & KLOSET (PORSTEX),1
pack rows · top categories,1424 CAIRAN PEMBERSIH LANTAI,1
pack rows · top categories,1425 KARBOL,1
pack rows · top categories,1426 PEMBERSIH & SEMIR KAYU UNTUK MEBEL (FURNITURE POLISH),1
pack rows · top categories,1432 PENGHARUM RUANGAN ELEKTRIK ALAT & ISINYA,2
pack rows · top categories,1433 PENGHARUM RUANGAN ELEKTRIK REFILL SAJA,6
pack rows · top categories,1435 PERALATAN DAN PENYIMPANAN DI KAMAR MANDI,1
pack rows · top categories,144 OBAT-OBATAN,6
pack rows · top categories,1440 PERLENGKAPAN KAMAR & KAMAR MANDI,5
pack rows · top categories,1442 PERLENGKAPAN LAINNYA,3
pack rows · top categories,1445 CAPO GITAR,1
pack rows · top categories,1450 PIANIKA,2
pack rows · top categories,1455 CELANA OLAHRAGA PRIA,1
pack rows · top categories,146 KEBUTUHAN KHUSUS LANJUT USIA,4
pack rows · top categories,1470 KECAP MANIS KEMASAN REFILL (POUCH),2
pack rows · top categories,1473 POPOK (DIAPERS) ANAK & BAYI SEKALI PAKAI (DISPOSABLE) MODEL CELANA,5
pack rows · top categories,1474 POPOK (DIAPERS) ANAK & BAYI SEKALI PAKAI (DISPOSABLE) DENGAN PEREKAT,1
pack rows · top categories,1476 SABUN BADAN CAIR KEMASAN REFILL,6
pack rows · top categories,1478 SABUN CUCI TANGAN CAIR KEMASAN REFILL (POUCH),1
pack rows · top categories,148 ANTI HAMA & SERANGGA,10
