id,name,depth,is_leaf,products,full_path,measured_need,measured_n,share_net_content,share_pack_count,share_colour,share_flavour,share_material,share_garment_size,share_scent,share_model_code,inferred_verdict,inferred_node,inferred_n,inferred_attrs,inferred_flagged_ancestor,inferred_tier
1162,KAUS PRIA,4,true,1467,Fashion > FASHION PRIA > ATASAN PRIA > KAUS PRIA,,0,0.024,0.0,0.199,0.006,0.035,0.044,0.014,0.133,FUZZY,Busana dan Aksesori > Pakaian > Pakaian Dalam Pria > Kaus Dalam Pria,9,Petunjuk perawatan | Warna | Kain | Fitur pakaian intim | Pola | Ukuran | Jenis ukuran | Jenis kelamin sasaran | Gaya kaos dalam,False,fuzzy-raw
1224,CELANA DALAM WANITA,4,true,1427,Fashion > FASHION WANITA > PAKAIAN DALAM WANITA > CELANA DALAM WANITA,,0,0.181,0.001,0.001,0.001,0.001,0.115,0.0,0.198,EXACT,Busana dan Aksesori > Pakaian > Lingeri > Celana Dalam Wanita,10,Petunjuk perawatan | Warna | Kain | Bahan gusset | Fitur pakaian intim | Pola | Ukuran | Jenis ukuran | Jenis kelamin sasaran | Ketinggian pinggang,True,exact-raw
1788,BARANG OBRAL,2,true,1382,BELUM DISORTIR > BARANG OBRAL,,0,0.017,0.006,0.051,0.005,0.056,0.035,0.005,0.077,UNMAPPED,,0,,,
68,MAINAN ANAK LAKI-LAKI,2,true,1319,Mainan dan Alat Lainnya > MAINAN ANAK LAKI-LAKI,model_code|pack_count,2,0.002,0.274,0.01,0.002,0.006,0.002,0.001,0.729,UNMAPPED,,0,,,
1568,SPREI,6,true,1186,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERLENGKAPAN RUMAH TANGGA > PERLENGKAPAN KAMAR & KAMAR MANDI > SPREI,pack_count,1,0.0,0.542,0.094,0.023,0.0,0.0,0.008,0.096,UNMAPPED,,0,,,
955,PERALATAN RUMAH TANGGA,4,false,1143,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA,model_code,1,0.101,0.049,0.113,0.024,0.033,0.008,0.001,0.203,EXACT,Rumah & Taman > Peralatan Rumah Tangga,5,Perlu dirakit | Warna | Kelas efisiensi energi | Pola | Sertifikasi keselamatan,True,exact-raw
440,SANDAL WANITA,3,true,1086,Fashion > SEPATU WANITA > SANDAL WANITA,colour|garment_size|model_code,3,0.006,0.0,0.581,0.029,0.002,0.786,0.013,0.255,EXACT,Busana dan Aksesori > Sepatu > Sandal,16,Kelompok usia | Petunjuk perawatan | Jenis penutupan | Warna | Bahan alas kaki | Jenis ketinggian tumit | Bahan pelapis | Gaya acara | Bahan sol luar | Pola | Gaya sandal | Fitur sepatu | Kesesuaian sepatu | Ukuran sepatu | Jenis kelamin sasaran | Gaya kaki,True,exact-stripped
10,Mainan dan Alat Lainnya,1,false,1048,Mainan dan Alat Lainnya,model_code,1,0.006,0.156,0.032,0.006,0.035,0.0,0.002,0.735,UNMAPPED,,0,,,
1223,BRA WANITA,4,true,1022,Fashion > FASHION WANITA > PAKAIAN DALAM WANITA > BRA WANITA,model_code,1,0.008,0.004,0.028,0.008,0.002,0.023,0.002,0.256,EXACT,Busana dan Aksesori > Pakaian > Lingeri > Bra,12,Jenis pemakaian bra | Cakupan bra | Fitur bra | Jenis tali bra | Gaya bra | Petunjuk perawatan | Warna | Ukuran cup bra | Kain | Pola | Jenis ukuran | Jenis kelamin sasaran,False,exact-stripped
1163,KEMEJA PRIA,4,true,937,Fashion > FASHION PRIA > ATASAN PRIA > KEMEJA PRIA,colour,1,0.019,0.0,0.232,0.011,0.003,0.014,0.0,0.169,AMBIGUOUS,,0,,,exact-stripped
1183,BLOUSE WANITA,4,true,913,Fashion > FASHION WANITA > ATASAN WANITA > BLOUSE WANITA,colour|model_code,2,0.104,0.0,0.227,0.005,0.024,0.106,0.003,0.227,UNMAPPED,,0,,,
1176,CELANA PANJANG PRIA,4,true,885,Fashion > FASHION PRIA > BAWAHAN PRIA > CELANA PANJANG PRIA,colour,1,0.017,0.0,0.279,0.005,0.082,0.145,0.001,0.198,AMBIGUOUS,,0,,,exact-stripped
1814,ARTEMEDIA,3,true,830,UNUSED > AREA DISPLAY > ARTEMEDIA,colour|model_code|net_content|scent,4,0.36,0.047,0.392,0.008,0.006,0.004,0.312,0.513,UNMAPPED,,0,,,
533,COOKIES & BISKUIT,4,true,827,"Makanan dan Minuman > MAKANAN KECIL  > COOKIES, BISKUIT DAN LAIN LAIN > COOKIES & BISKUIT",flavour|net_content,2,0.977,0.067,0.17,0.299,0.0,0.001,0.005,0.041,UNMAPPED,,0,,,
1211,CELANA PANJANG WANITA,4,true,827,Fashion > FASHION WANITA > BAWAHAN WANITA > CELANA PANJANG WANITA,colour,1,0.048,0.005,0.295,0.021,0.064,0.149,0.0,0.158,AMBIGUOUS,,0,,,exact-stripped
450,TAS WANITA,3,false,784,Fashion > TAS & KOPER > TAS WANITA,model_code,1,0.001,0.001,0.188,0.003,0.003,0.001,0.0,0.295,UNMAPPED,,0,,,
432,SANDAL PRIA,3,true,782,Fashion > SEPATU PRIA > SANDAL PRIA,colour|garment_size,2,0.005,0.001,0.568,0.065,0.0,0.637,0.0,0.065,EXACT,Busana dan Aksesori > Sepatu > Sandal,16,Kelompok usia | Petunjuk perawatan | Jenis penutupan | Warna | Bahan alas kaki | Jenis ketinggian tumit | Bahan pelapis | Gaya acara | Bahan sol luar | Pola | Gaya sandal | Fitur sepatu | Kesesuaian sepatu | Ukuran sepatu | Jenis kelamin sasaran | Gaya kaki,True,exact-stripped
1139,ATASAN ANAK LAKI-LAKI,4,true,734,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI > ATASAN ANAK LAKI-LAKI,colour,1,0.023,0.0,0.219,0.023,0.026,0.14,0.018,0.052,UNMAPPED,,0,,,
879,SHAMPOO,4,true,719,Perawatan Diri & Rumah Tangga > Perawatan Diri > PERAWATAN RAMBUT > SHAMPOO,net_content,1,0.974,0.142,0.11,0.078,0.001,0.0,0.102,0.046,UNMAPPED,,0,,,
72,MAINAN OLAHRAGA DAN AKTIVITAS,2,false,683,Mainan dan Alat Lainnya > MAINAN OLAHRAGA DAN AKTIVITAS,model_code|pack_count,2,0.015,0.34,0.038,0.013,0.061,0.004,0.001,0.669,AMBIGUOUS,,0,,,fuzzy-raw
1271,TAS RANSEL PRIA,4,true,661,Fashion > TAS & KOPER > TAS PRIA > TAS RANSEL PRIA,model_code,1,0.153,0.002,0.2,0.0,0.003,0.006,0.0,0.257,FUZZY,"Busana dan Aksesori > Tas Tangan, Dompet & Kotak > Tas Tangan > Tas Ransel Tangan",12,Ukuran aksesori | Kelompok usia | Hiasan tas | Penutup tas/kotak | Fitur tas/kotak | Bahan tas/kotak | Fitur penyimpanan tas/kotak | Petunjuk perawatan | Opsi bawa | Warna | Pola | Jenis kelamin sasaran,False,fuzzy-stripped
53,KACAMATA,2,false,642,Fashion > KACAMATA,model_code,1,0.002,0.002,0.148,0.008,0.002,0.0,0.0,0.586,EXACT,Kesehatan & Kecantikan > Perawatan Tubuh > Perawatan Penglihatan > Kacamata,23,Kelompok usia | Warna | Konstruksi | Bahan hiasan/trim | Warna bingkai kacamata | Desain bingkai kacamata | Bahan bingkai kacamata | Pola bingkai kacamata | Bentuk bingkai kacamata | Jenis engsel kacamata | Bahan lensa kacamata | Bahan perhiasan | Pelapis lensa | Warna lensa | Pola lensa | Jenis lensa | Bahan | Desain bingkai optik | Pola | Sterilitas produk | Jenis kelamin sasaran | Warna pelipis | Pola pelipis,False,exact-raw
1262,TAS RANSEL / PUNGGUNG ANAK,4,true,638,Fashion > TAS & KOPER > TAS ANAK > TAS RANSEL / PUNGGUNG ANAK,,0,0.006,0.0,0.194,0.009,0.0,0.0,0.0,0.136,UNMAPPED,,0,,,
49,FASHION ANAK & BAYI,2,false,596,Fashion > FASHION ANAK & BAYI,,0,0.013,0.0,0.19,0.015,0.04,0.06,0.002,0.07,UNMAPPED,,0,,,
1180,CELANA DALAM PRIA,4,true,589,Fashion > FASHION PRIA > PAKAIAN DALAM PRIA > CELANA DALAM PRIA,model_code,1,0.153,0.041,0.031,0.0,0.037,0.16,0.0,0.438,EXACT,Busana dan Aksesori > Pakaian > Pakaian Dalam Pria > Pakaian Dalam Pria > Celana Dalam,9,Petunjuk perawatan | Warna | Kain | Fitur pakaian intim | Pola | Gaya kantong | Ukuran | Jenis ukuran | Jenis kelamin sasaran,False,exact-stripped
1141,BAWAHAN ANAK LAKI-LAKI,4,true,584,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI > BAWAHAN ANAK LAKI-LAKI,material,1,0.019,0.0,0.171,0.002,0.26,0.08,0.031,0.029,UNMAPPED,,0,,,
1727,BOTOL MINUM PLASTIK,8,true,583,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA > PERALATAN DAN PENYIMPANAN DI DAPUR > TEMPAT PENYIMPANAN MAKANAN & MINUMAN > TEMPAT PENYIMPANAN MINUMAN / CAIRAN > BOTOL MINUM PLASTIK,colour|model_code|net_content,3,0.545,0.002,0.391,0.019,0.015,0.017,0.0,0.424,UNMAPPED,,0,,,
377,AKSESORIS FASHION DEWASA LAINNYA,3,true,569,Fashion > AKSESORIS FASHION DEWASA > AKSESORIS FASHION DEWASA LAINNYA,,0,0.0,0.004,0.086,0.007,0.074,0.0,0.004,0.032,UNMAPPED,,0,,,
1144,SET PAKAIAN ANAK LAKI-LAKI,4,true,569,Fashion > FASHION ANAK & BAYI > PAKAIAN ANAK LAKI-LAKI > SET PAKAIAN ANAK LAKI-LAKI,,0,0.021,0.0,0.03,0.004,0.018,0.033,0.002,0.144,EXACT,Busana dan Aksesori > Pakaian > Set Pakaian,26,Fitur pakaian aktif | Aktivitas | Kelompok usia | Fitur bra | Jenis tali bra | Tingkat sokongan bra | Petunjuk perawatan | Fitur pakaian | Warna | Ukuran cup bra | Acara dress | Gaya dress | Kain | Fit | Garis leher | Jenis panjang celana | Pola | Ukuran | Jenis ukuran | Gaya rok | Jenis panjang rok/gaun | Jenis panjang lengan | Keadaan jahitan | Jenis kelamin sasaran | Jenis panjang atasan | Ketinggian pinggang,True,exact-stripped
