id,name,depth,products,our_path,has_qualifier,passA_verdict,passA_score,passA_n_candidates,passA_shopify,passB_verdict,passB_score,passB_tier,passB_scope,passB_n_candidates,passB_shopify_id,passB_shopify,passB_shopify_en,passB_level,passB_is_leaf,passB_ancestor_level_match,passB_n_attrs,passB_attrs,passB_nearest_miss
1162,KAUS PRIA,4,1467,Fashion > FASHION PRIA > ATASAN PRIA > KAUS PRIA,True,FUZZY,0.667,1,Busana dan Aksesori > Pakaian > Pakaian Dalam Pria > Kaus Dalam Pria,FUZZY,0.667,fuzzy-raw,vertical,1,aa-1-8-2,Busana dan Aksesori > Pakaian > Pakaian Dalam Pria > Kaus Dalam Pria,Apparel & Accessories > Clothing > Men's Undergarments > Men's Undershirts,3,True,False,9,Petunjuk perawatan | Warna | Kain | Fitur pakaian intim | Pola | Ukuran | Jenis ukuran | Jenis kelamin sasaran | Gaya kaos dalam,
1224,CELANA DALAM WANITA,4,1427,Fashion > FASHION WANITA > PAKAIAN DALAM WANITA > CELANA DALAM WANITA,True,EXACT,1.0,1,Busana dan Aksesori > Pakaian > Lingeri > Celana Dalam Wanita,EXACT,1.0,exact-raw,vertical,1,aa-1-6-11,Busana dan Aksesori > Pakaian > Lingeri > Celana Dalam Wanita,Apparel & Accessories > Clothing > Lingerie > Women's Underpants,3,False,True,10,Petunjuk perawatan | Warna | Kain | Bahan gusset | Fitur pakaian intim | Pola | Ukuran | Jenis ukuran | Jenis kelamin sasaran | Ketinggian pinggang,
1788,BARANG OBRAL,2,1382,BELUM DISORTIR > BARANG OBRAL,False,UNMAPPED,0.333,3,,UNMAPPED,0.0,,global,0,,,,,,,,,
68,MAINAN ANAK LAKI-LAKI,2,1319,Mainan dan Alat Lainnya > MAINAN ANAK LAKI-LAKI,True,UNMAPPED,0.4,5,,UNMAPPED,0.4,,global,5,,,,,,,,,Busana dan Aksesori > Pakaian > Pakaian Bayi & Anak > Pakaian Dalam Bayi & Anak > Pakaian Dalam Anak Laki-Laki
1568,SPREI,6,1186,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERLENGKAPAN RUMAH TANGGA > PERLENGKAPAN KAMAR & KAMAR MANDI > SPREI,False,UNMAPPED,0.5,1,,UNMAPPED,0.5,,global,1,,,,,,,,,Rumah & Taman > Linen & Alas Tidur > Alas Tidur > Seprai > Sprei Pas
955,PERALATAN RUMAH TANGGA,4,1143,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga > PERALATAN RUMAH TANGGA,False,EXACT,1.0,1,Rumah & Taman > Peralatan Rumah Tangga,EXACT,1.0,exact-raw,vertical,1,hg-9,Rumah & Taman > Peralatan Rumah Tangga,Home & Garden > Household Appliances,1,False,True,5,Perlu dirakit | Warna | Kelas efisiensi energi | Pola | Sertifikasi keselamatan,
440,SANDAL WANITA,3,1086,Fashion > SEPATU WANITA > SANDAL WANITA,True,UNMAPPED,0.5,1,,EXACT,1.0,exact-stripped,vertical,1,aa-8-6,Busana dan Aksesori > Sepatu > Sandal,Apparel & Accessories > Shoes > Sandals,2,True,True,16,Kelompok usia | Petunjuk perawatan | Jenis penutupan | Warna | Bahan alas kaki | Jenis ketinggian tumit | Bahan pelapis | Gaya acara | Bahan sol luar | Pola | Gaya sandal | Fitur sepatu | Kesesuaian sepatu | Ukuran sepatu | Jenis kelamin sasaran | Gaya kaki,
10,Mainan dan Alat Lainnya,1,1048,Mainan dan Alat Lainnya,False,UNMAPPED,0.5,2,,UNMAPPED,0.5,,global,2,,,,,,,,,Mainan & Permainan > Mainan
1223,BRA WANITA,4,1022,Fashion > FASHION WANITA > PAKAIAN DALAM WANITA > BRA WANITA,True,UNMAPPED,0.5,1,,EXACT,1.0,exact-stripped,vertical,1,aa-1-6-3,Busana dan Aksesori > Pakaian > Lingeri > Bra,Apparel & Accessories > Clothing > Lingerie > Bras,3,True,False,12,Jenis pemakaian bra | Cakupan bra | Fitur bra | Jenis tali bra | Gaya bra | Petunjuk perawatan | Warna | Ukuran cup bra | Kain | Pola | Jenis ukuran | Jenis kelamin sasaran,
1163,KEMEJA PRIA,4,937,Fashion > FASHION PRIA > ATASAN PRIA > KEMEJA PRIA,True,UNMAPPED,0.5,3,,AMBIGUOUS,1.0,exact-stripped,vertical,3,,,,,,,,,
