id,name,name_en,depth,numchild,is_leaf,full_code,code,is_public,ancestors_are_public,path,parent_id,parent_name,ancestor_names,full_path_name,products,products_active,products_subtree
1,Makanan dan Minuman,Food and Groceries,1,7,false,A001,A001,true,true,0001,,,,Makanan dan Minuman,2,2,14021
11,KONSUMSI BAYI,,2,3,false,A001-01,01,true,true,00010001,1,Makanan dan Minuman,Makanan dan Minuman,Makanan dan Minuman > KONSUMSI BAYI,0,0,446
75,MAKANAN & MINUMAN BAYI,,3,0,true,A001-01-01,01,true,true,000100010001,11,KONSUMSI BAYI,Makanan dan Minuman > KONSUMSI BAYI,Makanan dan Minuman > KONSUMSI BAYI > MAKANAN & MINUMAN BAYI,123,81,123
76,SNACK BAYI,,3,0,true,A001-01-02,02,true,true,000100010002,11,KONSUMSI BAYI,Makanan dan Minuman > KONSUMSI BAYI,Makanan dan Minuman > KONSUMSI BAYI > SNACK BAYI,149,83,149
77,SUSU FORMULA BAYI,,3,0,true,A001-01-03,03,true,true,000100010004,11,KONSUMSI BAYI,Makanan dan Minuman > KONSUMSI BAYI,Makanan dan Minuman > KONSUMSI BAYI > SUSU FORMULA BAYI,174,120,174
12,MINUMAN,,2,1,false,A001-02,02,true,true,00010003,1,Makanan dan Minuman,Makanan dan Minuman,Makanan dan Minuman > MINUMAN,6,2,2257
78,MINUMAN DALAM KEMASAN,,3,16,false,A001-02-01,01,true,true,000100030002,12,MINUMAN,Makanan dan Minuman > MINUMAN,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN,131,83,2251
501,AIR MINERAL,,4,3,false,A001-02-01-01,01,true,true,0001000300020001,78,MINUMAN DALAM KEMASAN,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > AIR MINERAL,8,4,115
1313,AIR MINERAL KEMASAN BOTOL,,5,0,true,A001-02-01-01-01,01,true,true,00010003000200010001,501,AIR MINERAL,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > AIR MINERAL,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > AIR MINERAL > AIR MINERAL KEMASAN BOTOL,72,63,72
1314,AIR MINERAL KEMASAN GALON,,5,0,true,A001-02-01-01-02,02,true,true,00010003000200010002,501,AIR MINERAL,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > AIR MINERAL,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > AIR MINERAL > AIR MINERAL KEMASAN GALON,25,25,25
1315,AIR MINERAL KEMASAN GELAS,,5,0,true,A001-02-01-01-03,03,true,true,00010003000200010003,501,AIR MINERAL,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > AIR MINERAL,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > AIR MINERAL > AIR MINERAL KEMASAN GELAS,10,9,10
502,SUSU,,4,8,false,A001-02-01-02,02,true,true,0001000300020002,78,MINUMAN DALAM KEMASAN,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU,3,1,1009
1316,SUSU ALMOND,,5,0,true,A001-02-01-02-01,01,true,true,00010003000200020001,502,SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU > SUSU ALMOND,25,17,25
1317,SUSU BUBUK,,5,0,true,A001-02-01-02-02,02,true,true,00010003000200020002,502,SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU > SUSU BUBUK,310,187,310
1318,SUSU CAIR & UHT,,5,0,true,A001-02-01-02-03,03,true,true,00010003000200020003,502,SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU > SUSU CAIR & UHT,427,290,427
1319,SUSU IBU HAMIL,,5,0,true,A001-02-01-02-04,04,true,true,00010003000200020004,502,SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU > SUSU IBU HAMIL,57,31,57
1320,SUSU KACANG (SOY MILK),,5,0,true,A001-02-01-02-05,05,true,true,00010003000200020005,502,SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU,Makanan dan Minuman > MINUMAN > MINUMAN DALAM KEMASAN > SUSU > SUSU KACANG (SOY MILK),28,18,28
