id,name,name_en,depth,numchild,full_code,ancestor_names,products,products_active,products_subtree,children_sample,title_sample
955,PERALATAN RUMAH TANGGA,,4,4,A003-02-05-01,Perawatan Diri & Rumah Tangga > Rumah Tangga > Peralatan & Perlengkapan Rumah Tangga,1143,1113,10280,PERALATAN KEBERSIHAN RUMAH TANGGA | PERALATAN DAN PENYIMPANAN DI KAMAR MANDI | PERALATAN DAN PENYIMPANAN DI DAPUR | PERALATAN DAN PENYIMPANAN PAKAIAN DAN CUCIAN,BASI BULAT DHALIA 1.8 LTR BSD 084 :: FRC-13 FOOD CONT RECTANGULAR 800 ML :: TOP W.B NAVY 1000ML :: WB1.2 KOMAX WATER BOTTLE 1.2L :: R41 RECTAGULAR CONTAINER 2.4L :: R4 ORANGE RECTAGULAR CONTAINER1.1L :: FASHION WATER BOTTLE GREEN/ORG 7708 :: 35019 AZALEA TOILET BRUSH 2IN1 :: TRAVEL WATER BOTTLE BLUE/PINK/DARK GREY 9211 :: PC-S PARTY CUP SET - S 4PCS :: LAP PROWAY SERBAGUNA :: SPONGE PROWAY HIJAU :: TEFLON MAGIC COM 528 1.8 LTR :: REGULATOR STAR CAM METER
10,Mainan dan Alat Lainnya,Toys and Tools,1,8,A010,,1048,1040,4528,BONEKA  | MAINAN ANAK LAKI-LAKI | MAINAN ANAK PEREMPUAN | MAINAN BAYI & BALITA | MAINAN DENGAN PAPAN (BOARD GAME) | MAINAN OLAHRAGA DAN AKTIVITAS | PERMAINAN KARTU | ALAT LAINNYA,JX67 BERINGIN TOYS STICKER PUZZLE PAINTING :: HYB11 BERINGIN TOYS DINOSAUR THEME 3D PUZZLE :: 9152 HEROES BLOK :: YN58 RUBIK KANTONG SATUAN :: MK25 MASAK KITCHEN KTG :: IG11407 DIE CAST SPEED RACER 8 :: OCT5739 MOTOR GP KTG :: OCT2600 DOKTER SET :: OCT5109 GAJAH DRUM :: MC514 ANIMAL SERIES CRAB :: 11027B LEGO CONSTRUCTION :: 24G46 MAX GUN PREMIUM :: YG21 ARCHERY SPORT GAME :: LH2SR BOLA KARET GMBR SANRIO
450,TAS WANITA,,3,10,A008-14-04,Fashion > TAS & KOPER,784,742,1916,DOMPET WANITA | TAS ANYAMAN | TAS BAHU WANITA | TAS CLUTCHES WANITA | TAS LAPTOP WANITA | TAS POUCH WANITA | TAS RANSEL WANITA | TAS SATCHEL WANITA | TAS TANGAN WANITA | TAS TOTE WANITA,FOGO PUFFY :: MIU :: MINSOO :: RSD-115 :: RICHYS :: RSL MINI-50 :: SUNNY PUFFY :: CROFFLE :: JISOO HOLO :: TOTEPACK TWIZLE :: TAS TS-4/5 :: TAS TC-4/5 :: CASSEY-K CASSEY BELLE CARINE CREAM :: CASSEY-P CASSEY BELLE CARINE PEACH
72,MAINAN OLAHRAGA DAN AKTIVITAS,,2,4,A010-06,Mainan dan Alat Lainnya,683,669,771,KARPET PUZZLE | MANDI BOLA | PEROSOTAN | SEPEDA ANAK,"387100 MODELING MATERIALS, TERACOTA 500G :: 789-32C NEXO KNIGHT BLOCK :: PMJL KELERENG 100P MTLK :: 22658 SAINLINIAO BLOCK 12P :: 28003 FDOH 4P 28003 :: 6628 WALKIE SPIDERMAN :: X640-1/8 METAL MODEL BLOCK :: Y6-4 SPEED PUSH GAME :: 1111-322 CARROT PULL :: 682 DANCING OCTOPUS K :: P579 SPORT SET TENNIS GAME :: GUITAR HERO :: 8510C LCD WRITING TABLE :: X631 METAL MODEL BLOCK MINI"
53,KACAMATA,,2,3,A008-07,Fashion,642,636,1038,KACAMATA ANAK | KACAMATA BACA | KACAMATA HITAM,F TULANG :: 690 KACAMATA WANITA :: 6638 KACAMATA :: KA-297 KACAMATA OLAHRAGA PRIA :: KA-327 KACAMATA SPORTY :: KA-207 KACAMATA :: KA-296 KACAMATA OLAHRAGA :: KA-336 KACAMATA OVAL WANITA :: KA-304 KACAMATA PRIA :: KM-70 KACAMATA ANTI RADIASI :: PINK - KACAMATA WANITA PRIA FRAME FASHION :: BLACK/GREY - KACAMATA PRIA SPORT :: BIRU - KACAMATA WANITA PRIA FRAME FASHION :: HITAM/ABU-ABU - KACAMATA PRIA WANITA
49,FASHION ANAK & BAYI,,2,3,A008-03,Fashion,596,590,6791,PAKAIAN ANAK LAKI-LAKI | PAKAIAN ANAK PEREMPUAN | PAKAIAN BAYI,KATUN TG BONEKA :: BATIK TERA XXL :: BATIK TERA XL :: BATIK TERA L :: SINGLET LIEB NO 3L :: SINGLET LIEB NO XL :: SINGLET LIEB NO 0 WARNA :: SINGLET LIEB NO 5 [6] WARNA :: SINGLET LIEB NO 3 [6] WARNA :: SINGLET LIEB NO 9 [6] PUTIH :: SINGLET LIEB NO 5 WARNA :: SINGLET LIEB 7 [6] WARNA :: SINGLET LIEB NO M :: SINGLET LIEB NO 5 [6] PUTIH
58,SEPATU PRIA,,2,8,A008-12,Fashion,558,555,1924,KAUS KAKI PRIA | SANDAL GUNUNG PRIA | SANDAL PRIA | SEPATU BOOTS PRIA | SEPATU FORMAL PRIA | SEPATU LOAFER PRIA | SEPATU SLIP ON PRIA | SEPATU SNEAKERS PRIA,CANVAS C2503 KHAKI 39-44 :: CANVAS 25023 GREY 39-44 :: CANVAS 25X-21 BEIGE 39-44 :: CANVAS C2503 BLACK 39-44 :: CANVAS 25023 BLACK 39-44 :: CANVAS 25X-21 BLACK 39-44 :: SEPATU DRAGUNE-SM :: SANDAL SINABUNG-GM BLACK :: SEPATU DAGAN DI-SM BLACK/WHITE :: SANDAL ALEXANDRA-M BROWN/BEIGE :: SEPATU LUMINA SL :: SEPATU ESME-LL TOSCA :: SEPATU ADNAR-01 ST BLACK/WHITE 35-38 :: SANDAL GERALDTON-M BLACK/RED
398,ATASAN WANITA,,3,6,A008-05-01,Fashion > FASHION WANITA,523,523,2251,BLOUSE WANITA | KAMISOL / KEMBEN WANITA | KAUS POLO WANITA | KAUS WANITA | KEMEJA WANITA | TANK TOP WANITA,ZALMORE LONGSLEEVE LOOSE TEE WANITA BLACK M :: ZALMORE LONGSLEEVE LOOSE TEE WANITA BLACK XL :: ZALMORE LONGSLEEVE LOOSE TEE WANITA RED VELVET M :: ZALMORE LONGSLEEVE LOOSE TEE WANITA WHITE L :: ZALMORE LONGSLEEVE LOOSE TEE WANITA ASH GREY XL :: ZALMORE OVERSIZE LADIES - SLIT WARNA DUSTY LILAC L :: ZALMORE MIDI LONGSLEEVE BLACK XL :: ZALMORE OVERSIZE LADIES - SLIT WARNA DUSTY LILAC M :: ZALMORE LONGSLEEVE LOOSE TEE WANITA RED VELVET XL :: ZALMORE LONGSLEEVE LOOSE TEE WANITA POWDER BLUE XL :: ZALMORE LONGSLEEVE LOOSE TEE WANITA DUSTY LILAC XL :: ZALMORE LONGSLEEVE LOOSE TEE WANITA ASH GREY L :: ZALMORE LONGSLEEVE LOOSE TEE WANITA BLACK L :: ZALMORE LONGSLEEVE LOOSE TEE WANITA WHITE M
59,SEPATU WANITA,,2,9,A008-13,Fashion,481,472,2046,KAUS KAKI WANITA | SANDAL GUNUNG WANITA | SANDAL WANITA | SEPATU BOOTS WANITA | SEPATU FLAT DAN SEPATU BALET WANITA | SEPATU HAK TINGGI WANITA | SEPATU SLIP ON WANITA | SEPATU SNEAKERS WANITA | SEPATU WEDGES WANITA,CANVAS NA39-352 BLACK 36-41 :: ACKP-2 MAROON 36-40 :: ACKP-2 GREY 36-40 :: ATT SWN 524 [MM/UM/BM] (37-40) :: ATT SNK 035 (AM/MM/UM) :: ATT PSW 823 (K/MM/UM) 37-40 :: 1107 SEPATU WANITA HITAM 36-40 :: PEKKO TG WHITE/RED 30-33 :: RULLIEF MNM 505 HITAM 36-40 :: RULLIEF MBM 109 HITAM 36-40 :: RULLIEF MNM 540 HITAM 36-40 :: RULLIEF CXM 292 HITAM 36-40 :: SEPATU R JM-KEISHA L HITAM/PUTIH 37-40 :: SEPATU R JM-KYLIE L HITAM/HITAM 37-40
60,TAS & KOPER,,2,4,A008-14,Fashion,456,417,4839,TAS ANAK | TAS PRIA | TAS TRAVEL & KOPER | TAS WANITA,16805 TAS ABG (I) 2017 :: 16805 TAS ABG (I) A11 :: 16805 TAS ABG (I) 2260 :: 16805 TAS ABG (I) A12 :: 16805 TAS ABG (I) A13 :: 16805 TAS ABG (I) A24 :: 16805 TAS ABG (I) 503-1 :: 16805 TAS ABG (I) 5710 :: 16805 TAS ABG (I) A07 :: 16805 TAS ABG (I) 8621 :: 60698 JOLIE :: HERBIE 60665 :: 60669 POSH :: 60657 BRUSH
