id,main_category_id,is_active,is_public,is_offline_only,title
17400,1,true,true,false,STICK JARUM
94618,1,true,true,false,borma dago
6112,2,false,true,false,ZWITSAL NATURAL BASIC PACK 350 GR
6113,2,false,true,false,ZWITSAL BABY NATURAL CARE SMALL BOX
60030,2,true,true,true,CB MILK BOTTLE BPA FREE 125ML RL
61006,2,true,true,true,TL-3665 TL DS. WARNA PRINT+APLIKASI DBK
61012,2,true,true,true,DMM 8011 HITAM DISNEY XBUNNY MM CHARACTER BOTTLE BRUSH WITH FOAM
61019,2,true,true,true,GL-1289 BIRU GELAS BAYI GAGANG 2 TINGGI
61021,2,true,true,true,TB-1600 PUTIH TEMPAT BEDAK SEGI ANTI PECAH
61026,2,true,true,true,TB-1521 PINK TEMPAT BDK DOBEL+KAPAS+C.BUDS
61029,2,true,true,true,TB-1507 PINK TEMPAT BEDAK KACANG
61034,2,true,true,true,BS-8004 MERAH BABY SET NEW BORN (SLIM) STK CAP
61037,2,true,true,true,PT-0001 NASAL ASPIRATOR
61039,2,true,true,true,GL-1286 BIRU GELAS BAYI GAGANG 2
61041,2,true,true,true,TB-1518 PINK TEMPAT BEDAK KECIL
61042,2,true,true,true,TB-1600 PINK TEMPAT BEDAK SEGI ANTI PECAH
61043,2,true,true,true,GL-1289 PINK GELAS BAYI GAGANG 2 TINGGI
61048,2,true,true,true,ADW-1504 BIRU BUNNY WIDE NECK BOTTLE 150 ML
61049,2,true,true,true,TB-1544 PINK T SABUN KOTAK
61056,2,true,true,true,BK-2014 BIRU PARCEL KONTAINER
61057,2,true,true,true,LB-1391 PINK KEMASAN SENDOK DAN GARPU
61061,2,true,true,true,TB-1610 BIRU TEMPAT BEDAK NAMPAN 1
61062,2,true,true,true,TB-1611 PINK TEMPAT BEDAK NAMPAN 2
61063,2,true,true,true,ADN-5701M WIDE NECK SILICONE NIPPLE UK. M ISI (2) PCS
61071,2,true,true,true,ADW-1507 4 OZ ANIMAL CHARACTER HOOD WIDENECK
61073,2,true,true,true,TB-1516 PTH TEMPAT BEDAK OVAL
61090,2,true,true,true,ADB-2807 PINK 3OZ SILICONE SQUEEZE FEEDER
61093,2,true,true,true,TB-1611 BIRU TEMPAT BEDAK NAMPAN 2
61094,2,true,true,true,ALB-0001 BIRU MANGKOK BUBUR+SENDOK
61101,2,true,true,true,LB-1827 PTH F.SET B1 ISI 6PC+1SET M
61108,2,true,true,true,TB-1528 PINK TEMPAT BEDAK KAPSUL
61120,2,true,true,true,TB-1711 BIRU  TAKARAN SUSU
61130,2,true,true,true,ADN-5701L WIDE NECK SILICONE NIPPLE UK. L ISI (2) PCS
61132,2,true,true,true,TB-1517 BIRUTEMPAT BEDAK KECIL
61134,2,true,true,true,TB-1504 BIRU TEMPAT BEDAK DOUBLE WARNA
61136,2,true,true,true,TB-1523 BIRU TEMPAT SUSU 3 SUSUN
61140,2,true,true,true,TB-1532 TEPUKAN BDK PITA
61141,2,true,true,true,TB-1520 BIRU TEMPAT BEDAK KECIL
61147,2,true,true,true,BK-2014 PINK PARCEL KONTAINER
61148,2,true,true,true,HKT-LB201 PUTIH FEEDING SET HELLO KITTY M
61161,2,true,true,true,TB-1510 BIRU TEMPAT BEDAK DOUBLE KOTAK BASIC
61162,2,true,true,true,ADN-5701S WIDE NECK SILICONE NIPPLE UK.S ISI (2) PCS
61163,2,true,true,true,TB-1528 PUTIH TEMPAT BEDAK KAPSUL
61165,2,true,true,true,TB-1520 PINK TEMPAT BEDAK KECIL
61176,2,true,true,true,TB-1510 PINK TEMPAT BEDAK DOUBLE KOTAK BASIC
61178,2,true,true,true,HKT-LB203 PUTIH FEEDING SET HELLO KITTY M
61179,2,true,true,true,TB-1553 BIRU TEMPAT BEDAK SEGI+TEMPAT SABUN
61180,2,true,true,true,BS-8004 BIRU BABY SET NEW BORN (SLIM) STK CAP
61182,2,true,true,true,NC-0003 GUNTING KUKU BAYI
61185,2,true,true,true,TB-1521  BIRU TEMPAT BDK DOBEL+KAPAS+C.BUDS
61188,2,true,true,true,TB-1610 PINK TEMPAT BEDAK NAMPAN 1
61189,2,true,true,true,HKT-DN101M SILICONE NIPPLE UK. M BASIC ISI (3)
61194,2,true,true,true,TB-1518 BIRU TEMPAT BEDAK KECIL
61200,2,true,true,true,TB-1507  BIRU TEMPAT BEDAK KACANG
61218,2,true,true,true,TB001 HIJAU TOOTH BRUSH WITH CASE
61221,2,true,true,true,SK003 MERAH SK SPOON &FORK
61224,2,true,true,true,SK001 KUNING SK BOWL -E
61226,2,true,true,true,RKM103 BIRU MANICURE SET
61238,2,true,true,true,TT002 KUMBANG EASY GRIP TEETHER
61239,2,true,true,true,TT003 KODOK EASY GRIP TEETHER
61242,2,true,true,true,TT001 STRAWBERRY  COOLING TEETHER
61243,2,true,true,true,BS 349 HIJAU FLEXY HEADSPOON
61246,2,true,true,true,BD 037 PINK SIKAT BOTOL
61251,2,true,true,true,LB009 SLOW COOKER LIGHT INDICATOR
61252,2,true,true,true,SK003 ORANGE SK SPOON &FORK
61258,2,true,true,true,TB001 PINK TOOTH BRUSH WITH CASE
62171,2,true,true,true,DGG4315 GENDONGAN SAMPING 6IN1 M-SHAPE BABY SHEEP SERIES
62220,2,true,true,true,MMG4007 5IN1 BABY SLING NEWBORN TO TODDLER BAMBEE SERIES
62685,2,true,true,true,GURITA MAMA SLIM
63332,2,true,true,true,BFT7201 TAS SEDANG BABY FAMILY 07
63336,2,true,true,true,FS002 FEEDING SET TYPE 02
63362,2,true,true,true,ISG005 GEND SAMPING
63364,2,true,true,true,BSG3201 SLINGRIDER  BABY CARRIER SCOTS 2 SERIES
63496,2,true,true,true,FS M925
63497,2,true,true,true,FS M923
63498,2,true,true,true,FS M916
63500,2,true,true,true,FS M918
63501,2,true,true,true,TEMPAT TISSUE TT01
63543,2,true,true,true,OK-903 SENDOK SILICONE ISI 2
63545,2,true,true,true,OK-034 SISIR SIKAT SET
63547,2,true,true,true,OK-035 SISIR SIKAT SET
63548,2,true,true,true,JUICE FEEDER A-50
63549,2,true,true,true,F-82 SENDOK BAYI LENTUR
63551,2,true,true,true,D-13 BREAST PUMP + BOTOL
63554,2,true,true,true,BREAST PUMP MANUAL OK-701 ZIPPY
63557,2,true,true,true,OK-703 BREAST PUMP PP ADJUSTABLE
63594,2,true,true,true,FLANEL GARUK 1/2 90X110 (3)
63602,2,true,true,true,FLANEL TEBAL 90X90 [3]
63607,2,true,true,true,FLANEL GARUK 1/2 90X90 (3)
63622,2,true,true,true,FLANEL TIPIS 90X110 [3]
63635,2,true,true,true,POPOK DBL LPS HDK [3] HONEY BEE
63647,2,true,true,true,FLANEL TEBAL 90X110 [3]
63662,2,true,true,true,FLANEL TIPIS 90X120 [3]
63672,2,true,true,true,FLANEL TEBAL 90X120 [3]
63688,2,true,true,true,FLANEL TC 90X110[2]
63982,2,true,true,true,SD 0108A SLBR DLX GITAR WARNA
63983,2,true,true,true,BANTAL PEANG BLUDRU BPBL ISTIST KOTAK
63984,2,true,true,true,SP 0106 SLABER PLASTIK BESAR W B2X4
63985,2,true,true,true,BLK 4001 SELIMUT HOKINA GULUNG RBT
63988,2,true,true,true,ISMS2 BANTAL BLUDRU
63989,2,true,true,true,CDL14 SELIMUT TOPI TIGER SLAL2
63991,2,true,true,true,CDL15 SELIMUT TOPI JERAPAH SLAL2
63992,2,true,true,true,CDL16 SELIMUT BAYI TOPI BEE SLAL2
