measure,value
dimension_rows_that_become_columns,424644
dimension_rows_with_value_zero,290774
post_condition2_online_products_with_empty_spec_sheet,0
post_condition2_online_products_with_junk_only_spec_sheet,2843
post_condition2_products_with_empty_spec_sheet,59662
post_condition2_spec_sheet_lines_all,46499
post_condition2_spec_sheet_lines_public,46440
products_with_4_attribute_rows,59662
products_with_5_attribute_rows,46499
products_with_all_four_dimensions_zero,72635
products_with_any_zero_dimension,72721
products_with_other_row_counts,0
spec_sheet_lines_hidden_by_the_deny_list,0
spec_sheet_lines_today_all_products,471143
spec_sheet_lines_today_public_products,470848
