measure,value
distinct_values_normalised_upper_trim,5541
distinct_values_starting_with_PT,2867
distinct_values_with_an_ascii_letter,5510
junk_rows_on_public_active_online_products,2843
junk_rows_on_public_products_any,15516
letter_bearing_rows,30983
max_categories_for_one_value,82
rows_starting_with_PT,21577
rows_where_title_contains_value,1923
rows_where_title_starts_with_value,1002
value_0_on_public_products,12512
values_spanning_1_category,3968
values_spanning_ge10_categories,116
values_spanning_ge2_categories,1542
values_used_on_1_product,2736
values_used_on_ge100_products,32
values_used_on_ge10_products,581
